Country,Happiness,Homicide,
Afghanistan,Afghanistan,Afghanistan,
Albania,Albania,Albania,
Algeria,Algeria,Algeria,
American Samoa,,American Samoa,
Andorra,,Andorra,
Angola,Angola,Angola,
Anguilla,,Anguilla,
Antigua and Barbuda,,Antigua and Barbuda,
Argentina,Argentina,Argentina,
Armenia,Armenia,Armenia,
Aruba,,Aruba,
Australia,Australia,Australia,
Austria,Austria,Austria,
Azerbaijan,Azerbaijan,Azerbaijan,
Bahamas,,Bahamas,
Bahrain,Bahrain,Bahrain,
Bangladesh,Bangladesh,Bangladesh,
Barbados,,Barbados,
Belarus,Belarus,Belarus,
Belgium,Belgium,Belgium,
Belize,Belize,Belize,
Bermuda,,Bermuda,
Benin,Benin,,
Bhutan,Bhutan,Bhutan,
Bolivia,Bolivia,Bolivia (Plurinational State of),
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,
Botswana,Botswana,Botswana,
Brazil,Brazil,Brazil,
British Virgin Islands,,British Virgin Islands,
Brunei,,Brunei Darussalam,
Bulgaria,Bulgaria,Bulgaria,
Burkina Faso,Burkina Faso,Burkina Faso,
Burundi,Burundi,Burundi,
C“te d'Ivoire,,,
Cabo Verde,,Cabo Verde,
Cambodia,Cambodia,Cambodia,
Cameroon,Cameroon,Cameroon,
Canada,Canada,Canada,
Cayman Islands,,Cayman Islands,
Channel Islands,,Channel Islands,
Central African Republic,Central African Republic,,
Chad,Chad,,
Chile,Chile,Chile,
China,China,China,
China Macao SAR,,China Macao SAR,
"China, Hong Kong SAR",,"China, Hong Kong SAR",
"China, Taiwan Province of China",,"China, Taiwan Province of China",
Colombia,Colombia,Colombia,
Comoros,Comoros,,
Congo (Congo-Brazzaville),Congo (Brazzaville),,
Congo (Kinshasa),Congo (Kinshasa),,
Cook Islands,,Cook Islands,
Costa Rica,Costa Rica,Costa Rica,
Croatia,Croatia,Croatia,
Cuba,,Cuba,
Cura‡ao,,Cura‡ao,
Cyprus,Cyprus,Cyprus,
Czechia (Czech Republic),Czech Republic,Czechia,
Democratic Republic of the Congo,,,
Denmark,Denmark,Denmark,
Djibouti,Djibouti,,
Dominica,,Dominica,
Dominican Republic,Dominican Republic,Dominican Republic,
Ecuador,Ecuador,Ecuador,
Egypt,Egypt,Egypt,
El Salvador,El Salvador,El Salvador,
Equatorial Guinea,,,
Eritrea,,,
Estonia,Estonia,Estonia,
"Eswatini (fmr. ""Swaziland"")",,Eswatini,
Ethiopia,Ethiopia,Ethiopia,
Fiji,,Fiji,
Finland,Finland,Finland,
France,France,France,
French Polynesia,,French Polynesia,
Gabon,Gabon,,
Gambia,Gambia,,
Georgia,Georgia,Georgia,
Germany,Germany,Germany,
Ghana,Ghana,Ghana,
Gibraltar,,Gibraltar,
Greece,Greece,Greece,
Greenland,,Greenland,
Grenada,,Grenada,
Guadeloupe,,Guadeloupe,
Guam,,Guam,
Guatemala,Guatemala,Guatemala,
Guinea,Guinea,French Guiana,
Guinea-Bissau,,Guinea-Bissau,
Guyana,,Guyana,
Haiti,Haiti,Haiti,
Holy See,,Holy See,
Honduras,Honduras,Honduras,
Hong Kong,Hong Kong,,
"Hong Kong S.A.R., China","Hong Kong S.A.R., China",,
Hungary,Hungary,Hungary,
Iceland,Iceland,Iceland,
India,India,India,
Indonesia,Indonesia,Indonesia,
Iran,Iran,Iran (Islamic Republic of),
Iraq,Iraq,Iraq,
Ireland,Ireland,Ireland,
Isle of Man,Isle of Man,Isle of Man,
Israel,Israel,Israel,
Italy,Italy,Italy,
Ivory Coast,Ivory Coast,,
Jamaica,Jamaica,Jamaica,
Japan,Japan,Japan,
Jordan,Jordan,Jordan,
Kazakhstan,Kazakhstan,Kazakhstan,
Kenya,Kenya,Kenya,
Kiribati,,Kiribati,
Kosovo,Kosovo,Kosovo under UNSCR 1244,
Kuwait,Kuwait,Kuwait,
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,
Laos,Laos,,
Latvia,Latvia,Latvia,
Lebanon,Lebanon,Lebanon,
Lesotho,Lesotho,Lesotho,
Liberia,Liberia,Liberia,
Libya,Libya,,
Liechtenstein,,Liechtenstein,
Lithuania,Lithuania,Lithuania,
Luxembourg,Luxembourg,Luxembourg,
Macedonia,Macedonia,,
Madagascar,Madagascar,,
Malawi,Malawi,Malawi,
Malaysia,Malaysia,Malaysia,
Maldives,,Maldives,
Mali,Mali,,
Malta,Malta,Malta,
Marshall Islands,,Marshall Islands,
Martinique,,Martinique,
Mauritania,Mauritania,,
Mauritius,Mauritius,Mauritius,
Mayotte,,Mayotte,
Mexico,Mexico,Mexico,
Micronesia (Federated States of),,Micronesia (Federated States of),
Micronesia,,,
Moldova,Moldova,,
Monaco,,Monaco,
Mongolia,Mongolia,Mongolia,
Montenegro,Montenegro,Montenegro,
Montserrat,,Montserrat,
Morocco,Morocco,Morocco,
Mozambique,Mozambique,Mozambique,
Myanmar (formerly Burma),Myanmar,Myanmar,
Namibia,Namibia,Namibia,
Nauru,,,
Nepal,Nepal,Nepal,
Netherlands,Netherlands,Netherlands,
New Caledonia,,New Caledonia,
New Zealand,New Zealand,New Zealand,
Nicaragua,Nicaragua,Nicaragua,
Niger,Niger,Niger,
Nigeria,Nigeria,,
North Korea,,,
North Cyprus,North Cyprus,,
North Macedonia,North Macedonia,North Macedonia,
Northern Cyprus,Northern Cyprus,,
Norway,Norway,Norway,
Oman,Oman,Oman,
Pakistan,Pakistan,Pakistan,
Palau,,Palau,
Palestine State,Palestinian Territories,,
Panama,Panama,Panama,
Papua New Guinea,,Papua New Guinea,
Paraguay,Paraguay,Paraguay,
Peru,Peru,Peru,
Philippines,Philippines,Philippines,
Poland,Poland,Poland,
Portugal,Portugal,Portugal,
Puerto Rico,Puerto Rico,Puerto Rico,
Qatar,Qatar,Qatar,
Republic of Korea,,Republic of Korea,
Republic of Moldova,,Republic of Moldova,
R‚union,,R‚union,
Romania,Romania,Romania,
Russia,Russia,Russian Federation,
Rwanda,Rwanda,Rwanda,
Saint Helena,,Saint Helena,
Saint Kitts and Nevis,,Saint Kitts and Nevis,
Saint Lucia,,Saint Lucia,
Saint Martin (French part),,Saint Martin (French part),
Saint Pierre and Miquelon,,Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines,
Samoa,,Samoa,
San Marino,,San Marino,
Sao Tome and Principe,,Sao Tome and Principe,
Saudi Arabia,Saudi Arabia,Saudi Arabia,
Senegal,Senegal,Senegal,
Serbia,Serbia,Serbia,
Seychelles,,Seychelles,
Sierra Leone,Sierra Leone,Sierra Leone,
Singapore,Singapore,Singapore,
Slovakia,Slovakia,Slovakia,
Slovenia,Slovenia,Slovenia,
Solomon Islands,,Solomon Islands,
Somalia,Somalia,,
South Africa,South Africa,South Africa,
South Korea,South Korea,,
South Sudan,South Sudan,South Sudan,
Spain,Spain,Spain,
Sri Lanka,Sri Lanka,Sri Lanka,
State of Palestine,,State of Palestine,
Sudan,Sudan,,
Suriname,Suriname,Suriname,
Swaziland,Swaziland,,
Sweden,Sweden,Sweden,
Switzerland,Switzerland,Switzerland,
Syria,Syria,Syrian Arab Republic,
Taiwan,Taiwan,,
Taiwan Province of China,Taiwan Province of China,,
Tajikistan,Tajikistan,Tajikistan,
Tanzania,Tanzania,,
Thailand,Thailand,Thailand,
Timor-Leste,,Timor-Leste,
Togo,Togo,,
Tonga,,Tonga,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,
Tunisia,Tunisia,Tunisia,
Turkey,Turkey,Turkey,
Turkmenistan,Turkmenistan,Turkmenistan,
Turks and Caicos Islands,,Turks and Caicos Islands,
Tuvalu,,Tuvalu,
Uganda,Uganda,Uganda,
Ukraine,Ukraine,Ukraine,
United Arab Emirates,United Arab Emirates,United Arab Emirates,
United Kingdom,United Kingdom,United Kingdom,
United Republic of Tanzania,,United Republic of Tanzania,
United States of America,United States,United States of America,
United States Virgin Islands,,United States Virgin Islands,
Uruguay,Uruguay,Uruguay,
Uzbekistan,Uzbekistan,Uzbekistan,
Vanuatu,,Vanuatu,
Venezuela,Venezuela,Venezuela (Bolivarian Republic of),
Vietnam,Vietnam,Viet Nam,
Yemen,Yemen,Yemen,
Zambia,Zambia,Zambia,
Zimbabwe,Zimbabwe,Zimbabwe,
